URL,Nor/Mal,has_ip,long_url,is_shortened,has_at_symbol,has_double_slash,has_dash,subdomain_count,is_https,domain_reg_length,has_favicon,non_standard_port
http://se.eiftx.asia,1,0,20,1,0,0,0,1,0,1,0,1
http://ktce.sentr.expert,1,0,24,1,0,0,0,1,0,2,1,0
http://fdcgr.akoi.expert,1,0,24,1,0,0,0,1,0,3,0,1
http://iop.golzw.loan,1,0,21,1,0,0,0,1,0,3,1,1
http://bioz.polz.beauty,1,0,23,1,0,0,0,1,0,4,0,1
bk.ilogekg.com,1,0,14,1,0,0,0,-1,0,2,0,1
jtsx.sentr.expert,1,0,17,1,0,0,0,-1,0,4,1,0
http://ydcv.xnowe.rocks,1,0,23,1,0,0,0,1,0,1,1,1
http://ktce.sentr.expert,1,0,24,1,0,0,0,1,0,3,1,0
http://fecv.akoi.expert,1,0,23,1,0,0,0,1,0,1,1,0
bck.ilogsps.com/,1,0,16,1,0,0,0,-1,0,2,1,0
http://bit.ly/3J4oOC5,1,0,21,1,0,0,0,0,0,3,0,1
http://ktce.sentr.expert,1,0,24,1,0,0,0,1,0,1,0,1
http://fecv.akoi.expert,1,0,23,1,0,0,0,1,0,3,0,0
http://znux.xnowe.rocks,1,0,23,1,0,0,0,1,0,2,0,0
http://hrxv.eifxwz.live,1,0,23,1,0,0,0,1,0,1,0,1
http://sp.eiftx.asia,1,0,20,1,0,0,0,1,0,1,0,0
http://habtp.qngcb.com,1,0,22,1,0,0,0,1,0,4,1,0
http://frx.einxh.asia,1,0,21,1,0,0,0,1,0,3,0,0
mk.logenkk.com/,1,0,15,1,0,0,0,-1,0,1,0,1
bck.ilogsps.com/,1,0,16,1,0,0,0,-1,0,4,1,1
gk.ilognoild.com,1,0,16,1,0,0,0,-1,0,1,0,0
http://iop.golzw.loan,1,0,21,1,0,0,0,1,0,2,0,1
gks.logessml.com/,1,0,17,1,0,0,0,-1,0,2,1,1
http://frx.sentr.expert,1,0,23,1,0,0,0,1,0,4,1,1
http://znux.xnowe.rocks,1,0,23,1,0,0,0,1,0,1,0,0
jtsx.sentr.expert,1,0,17,1,0,0,0,-1,0,1,0,0
http://lnmfg.qrgbn.com,1,0,22,1,0,0,0,1,0,3,1,0
http://hltfh.dvcho.com,1,0,22,1,0,0,0,1,0,3,1,1
http://oshih.ykqhd.com,1,0,22,1,0,0,0,1,0,1,1,0
gk.ilognoild.com,1,0,16,1,0,0,0,-1,0,3,1,0
bck.ilogsps.com/,1,0,16,1,0,0,0,-1,0,3,1,0
http://ufcbsd.toms.social,1,0,25,1,0,0,0,1,0,4,0,1
http://einxi.uwnc.social,1,0,24,1,0,0,0,1,0,2,0,1
http://hoi.vixto.life,1,0,21,1,0,0,0,1,0,4,0,0
http://frx.sentr.expert,1,0,23,1,0,0,0,1,0,3,0,0
http://znux.xnowe.rocks,1,0,23,1,0,0,0,1,0,2,1,0
http://nomxe.noex.social,1,0,24,1,0,0,0,1,0,4,1,1
www.hjtxc.toms.social,1,0,21,1,0,0,0,-1,0,2,0,0
http://ufcbsd.toms.social,1,0,25,1,0,0,0,1,0,2,0,0
www.dsmbo.uwnc.social,1,0,21,1,0,0,0,-1,0,3,1,1
http://kjufv.cous.social,1,0,24,1,0,0,0,1,0,1,0,1
